iter	Passed	Remaining
378	1184	1940
379	1186	1935
380	1189	1932
381	1193	1930
382	1196	1928
383	1200	1926
384	1204	1924
385	1207	1920
386	1210	1917
387	1214	1915
388	1218	1913
389	1221	1911
390	1225	1908
391	1229	1906
392	1233	1904
393	1236	1902
394	1240	1899
395	1251	1908
396	1256	1908
397	1260	1906
398	1263	1903
399	1268	1902
400	1272	1900
401	1276	1898
402	1279	1895
403	1283	1893
404	1287	1890
405	1290	1888
406	1294	1885
407	1297	1883
408	1301	1880
409	1305	1878
410	1308	1875
411	1312	1873
412	1316	1870
413	1320	1868
414	1323	1866
415	1327	1863
416	1330	1859
417	1333	1857
418	1337	1854
419	1343	1855
420	1347	1852
421	1351	1850
422	1354	1847
423	1358	1844
424	1361	1842
425	1365	1840
426	1369	1838
427	1372	1833
428	1375	1831
429	1379	1828
430	1383	1826
431	1387	1823
432	1391	1821
433	1395	1819
434	1399	1817
435	1403	1815
436	1406	1812
437	1408	1807
438	1411	1804
439	1413	1799
440	1415	1794
441	1417	1789
442	1419	1785
443	1422	1780
444	1424	1776
445	1426	1771
446	1428	1767
447	1430	1762
448	1432	1758
449	1434	1753
450	1436	1748
451	1438	1744
452	1441	1740
453	1443	1735
454	1445	1731
455	1447	1726
456	1449	1722
457	1451	1717
458	1453	1713
459	1455	1708
460	1457	1704
461	1460	1700
462	1464	1698
463	1466	1693
464	1468	1689
465	1470	1684
466	1473	1681
467	1475	1677
468	1479	1674
469	1483	1672
470	1489	1673
471	1493	1670
472	1496	1667
473	1500	1665
474	1504	1662
475	1507	1659
476	1510	1656
477	1514	1653
478	1518	1651
479	1522	1648
480	1525	1646
481	1529	1643
482	1533	1641
483	1537	1638
484	1540	1636
485	1544	1633
486	1548	1631
487	1552	1628
488	1555	1625
489	1559	1623
490	1563	1620
491	1566	1617
492	1570	1614
493	1573	1612
494	1579	1610
495	1582	1608
496	1586	1605
497	1590	1602
498	1594	1600
499	1597	1597
500	1601	1595
501	1605	1592
502	1608	1589
503	1612	1586
504	1616	1584
505	1619	1581
506	1623	1578
507	1627	1575
508	1631	1573
509	1634	1570
510	1638	1568
511	1642	1565
512	1646	1562
513	1650	1560
514	1653	1557
515	1657	1554
516	1661	1552
517	1665	1549
518	1669	1547
519	1672	1543
520	1676	1541
521	1680	1538
522	1683	1535
523	1687	1533
524	1691	1530
525	1694	1527
526	1698	1524
527	1702	1522
528	1706	1519
529	1710	1516
530	1713	1513
531	1717	1511
532	1721	1508
533	1725	1505
534	1728	1502
535	1732	1499
536	1736	1497
537	1739	1493
538	1742	1490
539	1746	1487
540	1749	1484
541	1753	1481
542	1757	1479
543	1761	1476
544	1764	1473
545	1768	1470
546	1772	1468
547	1776	1465
548	1778	1461
549	1781	1457
550	1782	1452
551	1784	1448
552	1787	1444
553	1789	1440
554	1791	1436
555	1794	1432
556	1796	1429
557	1799	1425
558	1802	1422
559	1804	1417
560	1806	1413
561	1809	1409
562	1811	1406
563	1813	1401
564	1815	1397
565	1817	1393
566	1819	1389
567	1821	1385
568	1824	1381
569	1826	1377
570	1828	1373
571	1830	1369
572	1832	1365
573	1834	1361
574	1836	1357
575	1838	1353
576	1839	1348
577	1841	1344
578	1843	1340
579	1845	1336
580	1848	1332
581	1849	1328
582	1851	1324
583	1853	1320
584	1856	1316
585	1859	1314
586	1864	1311
587	1866	1307
588	1868	1303
589	1869	1299
590	1871	1295
591	1873	1291
592	1875	1287
593	1877	1283
594	1879	1279
595	1882	1276
596	1885	1272
597	1887	1268
598	1889	1265
599	1891	1261
600	1895	1258
601	1898	1255
602	1901	1252
603	1905	1249
604	1909	1246
605	1913	1243
606	1916	1241
607	1920	1238
608	1924	1235
609	1928	1232
610	1932	1230
611	1935	1227
612	1939	1224
613	1943	1221
614	1947	1219
615	1951	1216
616	1955	1213
617	1958	1210
618	1962	1207
619	1965	1204
620	1969	1202
621	1973	1199
622	1976	1196
623	1980	1193
624	1984	1190
625	1987	1187
626	1991	1184
627	1996	1182
628	1999	1179
629	2003	1176
630	2007	1173
631	2011	1171
632	2014	1168
633	2018	1165
634	2022	1162
635	2026	1159
636	2028	1156
637	2031	1152
638	2033	1148
639	2036	1145
640	2040	1142
641	2044	1139
642	2047	1136
643	2051	1134
644	2055	1131
645	2058	1128
646	2062	1125
647	2066	1122
648	2069	1119
649	2073	1116
650	2077	1113
651	2081	1110
652	2084	1107
653	2087	1104
654	2091	1101
655	2094	1098
656	2098	1095
657	2101	1092
658	2105	1089
659	2109	1086
660	2112	1083
661	2114	1079
662	2118	1076
663	2122	1073
664	2125	1070
665	2129	1068
666	2133	1065
667	2137	1062
668	2140	1059
669	2144	1056
670	2148	1053
671	2151	1050
672	2155	1047
673	2159	1044
674	2162	1041
675	2166	1038
676	2169	1035
677	2181	1036
678	2184	1032
679	2186	1029
680	2190	1025
681	2193	1022
682	2195	1019
683	2198	1015
684	2201	1012
685	2205	1009
686	2209	1006
687	2213	1003
688	2217	1000
689	2221	997
690	2224	994
691	2228	991
692	2232	988
693	2236	985
694	2239	982
695	2243	979
696	2247	976
697	2251	974
698	2254	971
699	2258	967
700	2262	965
701	2266	962
702	2268	958
703	2270	954
704	2272	951
705	2275	947
706	2277	943
707	2279	940
708	2281	936
709	2283	932
710	2285	928
711	2287	925
712	2289	921
713	2292	918
714	2294	914
715	2296	910
716	2298	907
717	2300	903
718	2303	900
719	2305	896
720	2307	893
721	2309	889
722	2311	885
723	2313	882
724	2316	878
725	2318	874
726	2320	871
727	2322	867
728	2324	863
729	2326	860
730	2328	856
731	2330	853
732	2332	849
733	2334	846
734	2336	842
735	2339	839
736	2344	836
737	2347	833
738	2349	829
739	2351	826
740	2354	822
741	2356	819
742	2358	815
743	2361	812
744	2363	809
745	2365	805
746	2367	801
747	2369	798
748	2372	794
749	2375	791
750	2379	788
751	2382	785
752	2386	782
753	2389	779
754	2393	776
755	2397	773
756	2400	770
757	2404	767
758	2408	764
759	2412	761
760	2416	758
761	2420	755
762	2424	752
763	2427	749
764	2431	746
765	2435	743
766	2439	741
767	2442	737
768	2446	734
769	2450	731
770	2454	729
771	2458	726
772	2462	723
773	2465	719
774	2469	716
775	2473	713
776	2476	710
777	2483	708
778	2486	705
779	2490	702
780	2494	699
781	2498	696
782	2502	693
783	2506	690
784	2509	687
785	2513	684
786	2517	681
787	2520	678
788	2524	675
789	2528	672
790	2532	669
791	2535	665
792	2539	662
793	2543	659
794	2547	656
795	2550	653
796	2554	650
797	2558	647
798	2561	644
799	2564	641
800	2567	637
801	2570	634
802	2572	631
803	2574	627
804	2576	624
805	2579	620
806	2581	617
807	2583	613
808	2586	610
809	2588	607
810	2591	603
811	2594	600
812	2596	597
813	2599	593
814	2601	590
815	2604	587
816	2607	584
817	2610	580
818	2612	577
819	2614	573
820	2616	570
821	2619	567
822	2620	563
823	2622	560
824	2625	556
825	2627	553
826	2629	550
827	2631	546
828	2634	543
829	2637	540
830	2641	537
831	2643	533
832	2645	530
833	2647	527
834	2650	523
835	2652	520
836	2655	517
837	2658	513
838	2660	510
839	2662	507
840	2664	503
841	2666	500
842	2669	497
843	2672	494
844	2675	490
845	2679	487
846	2681	484
847	2686	481
848	2688	478
849	2692	475
850	2696	472
851	2700	469
852	2704	466
853	2707	462
854	2711	459
855	2715	456
856	2718	453
857	2722	450
858	2726	447
859	2729	444
860	2733	441
861	2737	438
862	2740	435
863	2744	431
864	2748	428
865	2751	425
866	2755	422
867	2759	419
868	2763	416
869	2766	413
870	2770	410
871	2772	407
872	2775	403
873	2777	400
874	2779	397
875	2781	393
876	2784	390
877	2787	387
878	2790	384
879	2794	381
880	2797	377
881	2800	374
882	2803	371
883	2807	368
884	2810	365
885	2814	362
886	2817	358
887	2821	355
888	2825	352
889	2828	349
890	2832	346
891	2836	343
892	2839	340
893	2843	337
894	2847	334
895	2850	330
896	2854	327
897	2858	324
898	2863	321
899	2867	318
900	2870	315
901	2875	312
902	2879	309
903	2882	306
904	2886	303
905	2890	299
906	2893	296
907	2897	293
908	2901	290
909	2905	287
910	2908	284
911	2912	281
912	2916	277
913	2920	274
914	2923	271
915	2927	268
916	2929	265
917	2933	262
918	2936	258
919	2940	255
920	2944	252
921	2947	249
922	2951	246
923	2955	243
924	2958	239
925	2962	236
926	2964	233
927	2966	230
928	2968	226
929	2972	223
930	2975	220
931	2979	217
932	2983	214
933	2986	211
934	2990	207
935	2993	204
936	2997	201
937	3001	198
938	3005	195
939	3008	192
940	3012	188
941	3016	185
942	3020	182
943	3023	179
944	3027	176
945	3031	173
946	3034	169
947	3038	166
948	3042	163
949	3046	160
950	3052	157
951	3055	154
952	3059	150
953	3063	147
954	3066	144
955	3070	141
956	3074	138
957	3078	134
958	3081	131
959	3083	128
960	3085	125
961	3087	121
962	3089	118
963	3091	115
964	3093	112
965	3095	108
966	3097	105
967	3099	102
968	3101	99
969	3103	95
970	3106	92
971	3122	89
972	3126	86
973	3130	83
974	3132	80
975	3135	77
976	3137	73
977	3140	70
978	3142	67
979	3144	64
980	3146	60
981	3148	57
982	3150	54
983	3153	51
984	3155	48
985	3157	44
986	3159	41
987	3162	38
988	3166	35
989	3168	32
990	3172	28
991	3175	25
992	3179	22
993	3182	19
994	3187	16
995	3191	12
996	3195	9
997	3199	6
998	3203	3
999	3207	0
