iter	Logloss
0	0.6894246519
1	0.6859007873
2	0.6823690855
3	0.6787314332
4	0.674764305
5	0.6710094589
6	0.6675094441
7	0.6644755361
8	0.6611924482
9	0.657722046
10	0.6544583456
11	0.6512959994
12	0.648046703
13	0.6449425027
14	0.6416694765
15	0.6389071269
16	0.6359377813
17	0.6326455056
18	0.6300543758
19	0.6275392536
20	0.624724771
21	0.6216864367
22	0.618991446
23	0.615891146
24	0.6129142657
25	0.6102384902
26	0.6080967378
27	0.6060368462
28	0.6033341024
29	0.6007600254
30	0.5985161571
31	0.5962627769
32	0.594010363
33	0.5919443786
34	0.5895489181
35	0.5871693576
36	0.5854130502
37	0.5829719244
38	0.5809133677
39	0.5790410628
40	0.5771660574
41	0.5751528645
42	0.5725348092
43	0.5708968046
44	0.5688261565
45	0.5671329594
46	0.5654921066
47	0.5634316684
48	0.5615627828
49	0.5593310334
50	0.5574038399
51	0.5553385885
52	0.553793566
53	0.5520306
54	0.5504739075
55	0.5490403042
56	0.5472638294
57	0.5457280043
58	0.5442048612
59	0.5427863161
60	0.5416407781
61	0.5399964196
62	0.5384448213
63	0.5365196226
64	0.5349231232
65	0.5335269389
66	0.5323540608
67	0.530913995
68	0.5293667716
69	0.5280502867
70	0.5266968967
71	0.5252305136
72	0.5243122394
73	0.5228849647
74	0.5209268063
75	0.5194912539
76	0.5178503636
77	0.5167004467
78	0.5153593768
79	0.5139828311
80	0.512541373
81	0.5113747351
82	0.5102531724
83	0.5086956692
84	0.5075496052
85	0.5065823899
86	0.5054344732
87	0.5042239457
88	0.5031655187
89	0.5023384871
90	0.5010519971
91	0.4998754765
92	0.4985491631
93	0.4974113796
94	0.4963536802
95	0.4952194335
96	0.4941689597
97	0.493462605
98	0.4922595518
99	0.4910955969
100	0.4898034372
101	0.4887191883
102	0.4876032548
103	0.4863778457
104	0.4854340257
105	0.4849047132
106	0.4840948049
107	0.4830061502
108	0.4819575474
109	0.4809123847
110	0.4800168861
111	0.4791808915
112	0.4784717769
113	0.4776926288
114	0.4767398922
115	0.4755639894
116	0.4746844011
117	0.4737357338
118	0.4730912272
119	0.4723887825
120	0.4712371273
121	0.4704194103
122	0.4694084055
123	0.4686256314
124	0.4674387403
125	0.466788718
126	0.465788747
127	0.4653198195
128	0.464645553
129	0.4640103416
130	0.4632988459
131	0.4626569245
132	0.4618840407
133	0.4612541837
134	0.4604236094
135	0.4597521889
136	0.4590895751
137	0.4584949262
138	0.4578117569
139	0.4571296222
140	0.4565272865
141	0.4559984035
142	0.4553568091
143	0.4547333817
144	0.4541494822
145	0.4535805885
146	0.4528937165
147	0.4521966187
148	0.4514711173
149	0.4506050465
150	0.4503485753
151	0.4495282511
152	0.4487164997
153	0.4483397849
154	0.4482082468
155	0.4474565063
156	0.4470710718
157	0.4466433486
158	0.4460041618
159	0.4456196322
160	0.4449249831
161	0.4444033109
162	0.4437386912
163	0.443072994
164	0.4424588394
165	0.441850233
166	0.4411064765
167	0.4407802456
168	0.440243831
169	0.4396897872
170	0.4391667496
171	0.438666123
172	0.4379707262
173	0.4373786889
174	0.4366996614
175	0.4360705731
176	0.4355410354
177	0.434998429
178	0.4346931947
179	0.4340058859
180	0.4335042826
181	0.4331043675
182	0.4325122583
183	0.4322013284
184	0.4316789711
185	0.431039597
186	0.4305156137
187	0.4299119895
188	0.4293617219
189	0.428897567
190	0.4283429559
191	0.4279695453
192	0.42757009
193	0.4269636474
194	0.4265702426
195	0.4262422246
196	0.4256344934
197	0.4250322529
198	0.4245645694
199	0.4241804147
200	0.4240078256
201	0.4235734265
202	0.4231437976
203	0.4225097261
204	0.4222447447
205	0.4218692602
206	0.4214763093
207	0.4210507168
208	0.4206512091
209	0.4201707925
210	0.4196207135
211	0.4194996243
212	0.4189580349
213	0.4182745786
214	0.4178180998
215	0.417337353
216	0.4170411228
217	0.4166603637
218	0.41608674
219	0.4157632087
220	0.4153996364
221	0.4149311827
222	0.4143621045
223	0.4139078851
224	0.4134043198
225	0.4130353549
226	0.4123641126
227	0.4121881959
228	0.4115677589
229	0.411160513
230	0.410840876
231	0.4105017831
232	0.4101781012
233	0.4098874751
234	0.4097013095
235	0.409299023
236	0.4090497775
237	0.4085563322
238	0.4081056001
239	0.4077725022
240	0.4072086134
241	0.4069286473
242	0.4068733485
243	0.4062819503
244	0.4059458449
245	0.4054945787
246	0.4051712025
247	0.4047212081
248	0.4043714182
249	0.4040640316
250	0.4037015749
251	0.4033256509
252	0.4029787145
253	0.4024541749
254	0.4022605701
255	0.4019729118
256	0.4013495205
257	0.4008831009
258	0.4005242742
259	0.4002541207
260	0.3999146723
261	0.3993668459
262	0.3992908936
263	0.3989853823
264	0.3989004021
265	0.3987168634
266	0.3982366751
267	0.3978689873
268	0.3974311752
269	0.3969600099
270	0.3968031686
271	0.3966387967
272	0.3963132145
273	0.3959148938
274	0.3956791332
275	0.3953061854
276	0.394947407
277	0.3947353773
278	0.3944363091
279	0.3943660597
280	0.3941518212
281	0.3939953683
282	0.3937434373
283	0.3933539859
284	0.3930512281
285	0.3928169651
286	0.3925093806
287	0.3923174857
288	0.3918220536
289	0.3915281238
290	0.3911194991
291	0.3906916846
292	0.3905042145
293	0.3902097627
294	0.3896556668
295	0.3893338354
296	0.3890117397
297	0.3886852561
298	0.3883306186
299	0.3880450473
300	0.3877002676
301	0.3873660535
302	0.3871518842
303	0.3867513306
304	0.3864660433
305	0.3861151939
306	0.3857698989
307	0.3853185507
308	0.3851426925
309	0.3846426408
310	0.3842775506
311	0.3837664885
312	0.3834959837
313	0.3830989774
314	0.3829059011
315	0.3826690951
316	0.3824810914
317	0.382169369
318	0.3819188433
319	0.3815231175
320	0.3812922465
321	0.3809703839
322	0.380610617
323	0.3803782354
324	0.3800540296
325	0.3796875122
326	0.3794812319
327	0.379217031
328	0.3789630589
329	0.378640489
330	0.3783672604
331	0.3779999146
332	0.3776787369
333	0.3773616412
334	0.3770924423
335	0.3766755803
336	0.3764531197
337	0.3761330848
338	0.3758920628
339	0.3756367614
340	0.3754080238
341	0.375025166
342	0.3745551656
343	0.3744382463
344	0.3742715888
345	0.3739797715
346	0.3735417645
347	0.3731918291
348	0.372996204
349	0.3727336743
350	0.3723838827
351	0.3723393356
352	0.371814468
